Offset;OriginalLength;OriginalString;Translation;Notes;
742;38;今から、＜戦車の操縦方法を教える。＜＜;Alright solider!＜＜;;
782;48;一度しか説明しないので＜よおーく聞いておけ！＜＜;Listen carefully!＜＜;;
832;50;まず、戦車を前進させるときは＜Ｂボタンを使う。＜＜;Use the B button to move forward!＜＜;;
884;38;後退させるときは＜Ｙボタンを押せ。＜＜;Use the Y button to move back.＜＜;;
924;52;カーソルを左右に振れば＜ゆっくり戦車が旋回する。＜＜;Move the cursor to turn the tank in a direction.＜＜;;
1697;22;次は射撃方法だ。＜＜＜;Now about arms.＜＜＜;;
1721;56;画面中央の四角カーソルを＜敵の戦車に合わせるのだが、＜＜;Move the square in the center onto an enemy tank.＜＜;;
1779;50;今回は左に敵がいるので＜カーソルを左に動かす。＜＜;A enemy is at left, so move the cursor there.＜＜;;
1831;36;狙いをつけたらＡボタンを押せ！＜＜＜;Press button A to fire!＜＜＜;;
1869;36;しかし！！＜ここはなくなった！！＜＜;＜＜＜;;
1907;6;＜＜＜;＜＜＜;;
1915;48;さらに微調整して＜もう一度Ａボタンを押す！！＜＜;Do aim adjustments and hit A button again!＜＜＜;;
2694;54;戦車戦では、基本的に＜先に相手を見つけた方が勝つ。＜＜;Winner is usually one, who finds the enemy first.＜＜;;
2750;26;索敵は決して怠るな！＜＜＜;Never stop hunting.＜＜＜;;
2778;72;先ほどの三角のマーカーが＜ついたり消えたりするから、＜よおく見ておけ！＜;Triangular markers will pop in and out sometimes.＜;;
2852;26;画面外にいる戦車は、＜＜＜;Tanks out of scope＜＜＜;;
2880;38;マーカーが＜このように表示される。＜＜;...will be marked like this.＜＜＜;;
2920;36;すばやく左を向いて撃破せよ！！＜＜＜;Turn left and destroy them!＜＜＜;;
3855;48;最後に、戦車以外の敵との＜戦い方を説明する。＜＜;Let's talk about taking out＜other enemies.＜＜;;
3905;66;榴弾は、＜目標を撃ちぬくことよりも、＜破壊を目的に作られている。＜;HE rounds are designed to blow up a target rather than pierce it.;;
3973;62;よって、火点などの建物や、＜装甲の薄い対戦車砲に使用する。＜＜;Use those on enemy fire points, buildings and vehicles.＜＜;;
4037;22;まずは、火点だ。＜＜＜;Fire points:＜＜＜;;
4061;54;この建物の中に対戦車砲が＜隠されていることがある。＜＜;Anti-tank guns can hide in buildings like this.＜＜;;
4117;32;発見したらすぐに破壊しろ。＜＜＜;Don't waste time on them.＜＜＜;;
4151;68;火点は何発か打ち込まないと＜破壊できない。＜続けて砲弾を叩き込め！＜;Some fire points will take＜several shots to eliminate.＜＜＜＜;;
4221;70;破壊した火点には＜マップ上に×印がつくので、＜あとで、確認しておけ。＜;Destroyed fire points will be marked with an X on the map.;;
4293;22;次は対戦車砲だ。＜＜＜;Anti-tank guns:＜＜＜;;
4317;86;この目標は非常に小さい。＜地形に隠して配置している＜場合もあるので狙いは正確に行う。＜;These are very small targets,and they're often hidden in the terrain. Aim carefully!;;
4405;50;コツは、目標の置かれている＜地面を狙うことだ。＜＜;The key is to aim at the＜targets ground.＜＜;;
4457;70;目標が小さいので、＜このように砲弾が後ろに＜抜けてしまうことが多い。＜;Since the target is so small, sometimes a shot can pass them.＜＜＜;;
4529;66;こうすれば、＜目標は爆発に巻き込まれて＜ダメージを受けるはずだ。＜;But with shots like this, the target is will take some damage.＜＜;;
4597;30;さらに、砲弾を叩き込む。＜＜＜;Keep the shots coming!＜＜＜;;
4629;36;これで、敵を排除できたわけだ。＜＜＜;Now the enemy is taken out.＜＜＜;;
4667;40;とにかく、＜対戦車砲は厄介な相手だ。＜＜;Anti-tank guns are dangerous enemys.＜＜;;
4709;38;発見した場合は、＜早めに対処しろ。＜＜;Don't waste time on them.＜＜＜;;
4749;20;説明は以上だ。＜＜＜;We're done.＜＜＜;;
4771;36;今回の内容をよく頭に叩き込んで＜＜＜;Don't forget what you saw.＜＜＜;;
4809;36;確実で、迅速な行動を心がけろ！＜＜＜;Good luck on the Battlefield.＜＜＜;;
